DataLength;Turing machine steps;Turing machine memory;C++ function steps;C++ function memory;Fast C++ function steps;Fast C++ function memory;
1;3;3;1;6;4;9;
2;6;2;4;6;5;9;
3;10;2;8;6;9;9;
4;15;2;13;6;10;9;
5;21;2;19;6;14;9;
6;28;2;26;6;15;9;
7;36;2;34;6;19;9;
8;45;2;43;6;20;9;
9;55;2;53;6;24;9;
10;66;2;64;6;25;9;
11;78;2;76;6;29;9;
12;91;2;89;6;30;9;
13;105;2;103;6;34;9;
14;120;2;118;6;35;9;
15;136;2;134;6;39;9;
16;153;2;151;6;40;9;
17;171;2;169;6;44;9;
18;190;2;188;6;45;9;
19;210;2;208;6;49;9;
20;231;2;229;6;50;9;
21;253;2;251;6;54;9;
22;276;2;274;6;55;9;
23;300;2;298;6;59;9;
24;325;2;323;6;60;9;
25;351;2;349;6;64;9;
26;378;2;376;6;65;9;
27;406;2;404;6;69;9;
28;435;2;433;6;70;9;
29;465;2;463;6;74;9;
30;496;2;494;6;75;9;
31;528;2;526;6;79;9;
32;561;2;559;6;80;9;
33;595;2;593;6;84;9;
34;630;2;628;6;85;9;
35;666;2;664;6;89;9;
36;703;2;701;6;90;9;
37;741;2;739;6;94;9;
38;780;2;778;6;95;9;
39;820;2;818;6;99;9;
40;861;2;859;6;100;9;
41;903;2;901;6;104;9;
42;946;2;944;6;105;9;
43;990;2;988;6;109;9;
44;1035;2;1033;6;110;9;
45;1081;2;1079;6;114;9;
46;1128;2;1126;6;115;9;
47;1176;2;1174;6;119;9;
48;1225;2;1223;6;120;9;
49;1275;2;1273;6;124;9;
50;1326;2;1324;6;125;9;
51;1378;2;1376;6;129;9;
52;1431;2;1429;6;130;9;
53;1485;2;1483;6;134;9;
54;1540;2;1538;6;135;9;
55;1596;2;1594;6;139;9;
56;1653;2;1651;6;140;9;
57;1711;2;1709;6;144;9;
58;1770;2;1768;6;145;9;
59;1830;2;1828;6;149;9;
60;1891;2;1889;6;150;9;
61;1953;2;1951;6;154;9;
62;2016;2;2014;6;155;9;
63;2080;2;2078;6;159;9;
64;2145;2;2143;6;160;9;
65;2211;2;2209;6;164;9;
66;2278;2;2276;6;165;9;
67;2346;2;2344;6;169;9;
68;2415;2;2413;6;170;9;
69;2485;2;2483;6;174;9;
70;2556;2;2554;6;175;9;
71;2628;2;2626;6;179;9;
72;2701;2;2699;6;180;9;
73;2775;2;2773;6;184;9;
74;2850;2;2848;6;185;9;
75;2926;2;2924;6;189;9;
76;3003;2;3001;6;190;9;
77;3081;2;3079;6;194;9;
78;3160;2;3158;6;195;9;
79;3240;2;3238;6;199;9;
80;3321;2;3319;6;200;9;
81;3403;2;3401;6;204;9;
82;3486;2;3484;6;205;9;
83;3570;2;3568;6;209;9;
84;3655;2;3653;6;210;9;
85;3741;2;3739;6;214;9;
86;3828;2;3826;6;215;9;
87;3916;2;3914;6;219;9;
88;4005;2;4003;6;220;9;
89;4095;2;4093;6;224;9;
90;4186;2;4184;6;225;9;
91;4278;2;4276;6;229;9;
92;4371;2;4369;6;230;9;
93;4465;2;4463;6;234;9;
94;4560;2;4558;6;235;9;
95;4656;2;4654;6;239;9;
96;4753;2;4751;6;240;9;
97;4851;2;4849;6;244;9;
98;4950;2;4948;6;245;9;
99;5050;2;5048;6;249;9;
100;5151;2;5149;6;250;9;
