DataLength;Radix sort steps;Radix sort memory;
1;291;148;
2;322;188;
3;353;228;
4;384;268;
5;415;308;
6;446;348;
7;477;388;
8;508;428;
9;539;468;
10;570;508;
11;601;548;
12;632;588;
13;663;628;
14;694;668;
15;725;708;
16;756;748;
17;787;788;
18;818;828;
19;849;868;
20;880;908;
21;911;948;
22;942;988;
23;973;1028;
24;1004;1068;
25;1035;1108;
26;1066;1148;
27;1097;1188;
28;1128;1228;
29;1159;1268;
30;1190;1308;
31;1221;1348;
32;1252;1388;
33;1283;1428;
34;1314;1468;
35;1345;1508;
36;1376;1548;
37;1407;1588;
38;1438;1628;
39;1469;1668;
40;1500;1708;
41;1531;1748;
42;1562;1788;
43;1593;1828;
44;1624;1868;
45;1655;1908;
46;1686;1948;
47;1717;1988;
48;1748;2028;
49;1779;2068;
50;1810;2108;
51;1841;2148;
52;1872;2188;
53;1903;2228;
54;1934;2268;
55;1965;2308;
56;1996;2348;
57;2027;2388;
58;2058;2428;
59;2089;2468;
60;2120;2508;
61;2151;2548;
62;2182;2588;
63;2213;2628;
64;2244;2668;
65;2275;2708;
66;2306;2748;
67;2337;2788;
68;2368;2828;
69;2399;2868;
70;2430;2908;
71;2461;2948;
72;2492;2988;
73;2523;3028;
74;2554;3068;
75;2585;3108;
76;2616;3148;
77;2647;3188;
78;2678;3228;
79;2709;3268;
80;2740;3308;
81;2771;3348;
82;2802;3388;
83;2833;3428;
84;2864;3468;
85;2895;3508;
86;2926;3548;
87;2957;3588;
88;2988;3628;
89;3019;3668;
90;3050;3708;
91;3081;3748;
92;3112;3788;
93;3143;3828;
94;3174;3868;
95;3205;3908;
96;3236;3948;
97;3267;3988;
98;3298;4028;
99;3329;4068;
100;3360;4108;
