DataLength;Bubble sort steps;Bubble sort memory;Quick sort steps;Quick sort memory;Merge sort steps;Merge sort memory;
1;0;12;1;0;1;0;
2;5;12;4;16;7;24;
3;11;12;9;32;15;52;
4;18;12;15;48;23;80;
5;30;12;18;64;33;112;
6;39;12;18;64;43;144;
7;73;12;30;80;53;176;
8;76;12;22;64;63;208;
9;136;12;35;96;75;244;
10;145;12;53;144;87;280;
11;139;12;53;128;99;316;
12;162;12;70;160;111;352;
13;222;12;77;160;123;388;
14;319;12;68;192;135;424;
15;273;12;77;176;147;460;
16;348;12;92;224;159;496;
17;532;12;91;240;173;536;
18;449;12;80;224;187;576;
19;539;12;120;288;201;616;
20;530;12;119;272;215;656;
21;602;12;114;272;229;696;
22;723;12;123;288;243;736;
23;685;12;152;336;257;776;
24;820;12;142;352;271;816;
25;892;12;164;336;285;856;
26;945;12;147;368;299;896;
27;1011;12;157;368;313;936;
28;1122;12;192;384;327;976;
29;1278;12;188;384;341;1016;
30;1311;12;199;384;355;1056;
31;1433;12;206;416;369;1096;
32;1600;12;228;416;383;1136;
33;1564;12;211;432;399;1180;
34;1653;12;217;432;415;1224;
35;1803;12;262;496;431;1268;
36;1642;12;225;512;447;1312;
37;1730;12;216;528;463;1356;
38;2019;12;248;560;479;1400;
39;2329;12;229;528;495;1444;
40;2408;12;257;560;511;1488;
41;2072;12;285;544;527;1532;
42;2517;12;312;592;543;1576;
43;2499;12;349;592;559;1620;
44;2754;12;281;624;575;1664;
45;2594;12;327;592;591;1708;
46;3187;12;294;592;607;1752;
47;3501;12;287;576;623;1796;
48;3488;12;349;656;639;1840;
49;3724;12;383;624;655;1884;
50;3717;12;344;640;671;1928;
51;3911;12;357;720;687;1972;
52;3858;12;327;672;703;2016;
53;3986;12;366;720;719;2060;
54;4819;12;375;720;735;2104;
55;4645;12;383;752;751;2148;
56;5168;12;461;768;767;2192;
57;5252;12;367;720;783;2236;
58;4845;12;409;800;799;2280;
59;5051;12;390;736;815;2324;
60;5250;12;494;800;831;2368;
61;6030;12;444;864;847;2412;
62;5039;12;458;864;863;2456;
63;5945;12;474;928;879;2500;
64;5808;12;443;880;895;2544;
65;5968;12;589;960;913;2592;
66;6705;12;553;912;931;2640;
67;6983;12;474;896;949;2688;
68;7010;12;621;928;967;2736;
69;7022;12;466;976;985;2784;
70;7255;12;456;944;1003;2832;
71;7425;12;556;944;1021;2880;
72;7740;12;559;928;1039;2928;
73;7236;12;520;912;1057;2976;
74;8285;12;533;992;1075;3024;
75;7903;12;609;1040;1093;3072;
76;7870;12;525;992;1111;3120;
77;8166;12;605;1088;1129;3168;
78;8647;12;603;1104;1147;3216;
79;9041;12;611;1072;1165;3264;
80;9908;12;573;1104;1183;3312;
81;9164;12;612;1152;1201;3360;
82;10345;12;733;1120;1219;3408;
83;9679;12;663;1088;1237;3456;
84;9674;12;658;1104;1255;3504;
85;10362;12;574;1184;1273;3552;
86;11435;12;684;1200;1291;3600;
